label,poly,det,xor,xtime,involutory,mds,inv_det,inv_xor,inv_xtime,inv_involutory,inv_mds
Grostl,x^8 + x^6 + x^5 + x^2 + 1,0x64,104,96,False,False,0x1c,240,328,False,False
Grostl,x^8 + x^6 + x^5 + x^3 + 1,0x68,104,96,False,True,0x34,248,376,False,True
Grostl,x^8 + x^6 + x^5 + x^4 + 1,0x70,104,96,False,False,0x7a,288,384,False,False
Grostl,x^8 + x^6 + x^5 + x^4 + x^2 + x + 1,0x76,104,96,False,False,0x63,232,400,False,False
Grostl,x^8 + x^6 + x^5 + x^4 + x^3 + x + 1,0x7a,104,96,False,False,0x3d,208,360,False,False
Grostl,x^8 + x^7 + x^2 + x + 1,0x86,104,96,False,False,0xb8,280,376,False,False
Grostl,x^8 + x^7 + x^3 + x + 1,0x8a,104,96,False,False,0xf7,208,376,False,False
Grostl,x^8 + x^7 + x^3 + x^2 + 1,0x8c,104,96,False,True,0xa9,200,384,False,True
Grostl,x^8 + x^7 + x^4 + x^3 + x^2 + x + 1,0x9e,104,96,False,True,0xb1,176,360,False,True
Grostl,x^8 + x^7 + x^5 + x + 1,0xa2,104,96,False,False,0xdf,224,376,False,False
Grostl,x^8 + x^7 + x^5 + x^3 + 1,0xa8,104,96,False,False,0x3b,272,376,False,False
Grostl,x^8 + x^7 + x^5 + x^4 + 1,0xb0,104,96,False,False,0x7f,216,344,False,False
Grostl,x^8 + x^7 + x^5 + x^4 + x^3 + x^2 + 1,0xbc,104,96,False,False,0x79,272,376,False,False
Grostl,x^8 + x^7 + x^6 + x + 1,0xc2,104,96,False,False,0xf8,248,352,False,False
Grostl,x^8 + x^7 + x^6 + x^3 + x^2 + x + 1,0xce,104,96,False,False,0xc0,240,416,False,False
Grostl,x^8 + x^7 + x^6 + x^4 + x^2 + x + 1,0xd6,104,96,False,False,0x29,232,384,False,False
Grostl,x^8 + x^7 + x^6 + x^4 + x^3 + x^2 + 1,0xdc,104,96,False,False,0x8d,200,344,False,False
Grostl,x^8 + x^7 + x^6 + x^5 + x^2 + x + 1,0xe6,104,96,False,False,0xe0,256,384,False,False
